delivery_id,delivery_person_id,restaurant_area,customer_area,delivery_distance_km,delivery_time_min,order_placed_at,weather_condition,traffic_condition,delivery_rating
OU5552,B8,A,1,27.3,69,2025-03-14 09:48:15,foggy,moderate traffic,5
GO3162,S0,J,9,71.4,103,2025-07-06 06:03:44,sunny,heavy traffic,5
UK8274,Q0,X,5,41.3,27,2025-03-24 23:43:26,rainy,moderate traffic,0
IE9896,G6,Q,6,2.6,87,2025-05-13 12:51:00,windy,moderate traffic,5
RL8648,T9,X,0,83.3,89,2025-01-27 12:36:10,sunny,moderate traffic,0
RK3265,C5,T,1,41.2,35,2025-06-15 04:07:42,sunny,heavy traffic,4
JZ7460,F6,F,8,36.4,27,2025-05-24 14:14:25,windy,heavy traffic,1
QA1582,P4,V,3,38.3,86,2024-08-06 21:24:27,rainy,light traffic,3
PM7665,S4,F,6,46.2,80,2025-02-07 17:47:52,foggy,heavy traffic,3
CN5183,Q0,J,7,43.7,83,2025-06-27 10:28:47,cloudy,moderate traffic,5
UR7926,K1,X,2,52.3,102,2025-08-25 18:56:26,sunny,heavy traffic,4
SH7726,S7,N,9,88.2,58,2024-11-05 01:14:23,foggy,heavy traffic,3
LL5625,H7,U,5,22.2,98,2025-01-23 01:58:46,rainy,moderate traffic,1
FF6440,Z8,B,1,75.0,62,2025-01-22 22:46:57,foggy,light traffic,0
DR4809,H1,R,9,14.2,33,2025-08-13 14:16:48,sunny,heavy traffic,3
UB2514,S7,E,2,13.3,43,2024-09-16 07:12:04,windy,heavy traffic,5
PC6649,A0,F,0,71.4,32,2025-02-21 13:20:01,windy,heavy traffic,4
QL8890,Y3,T,2,60.7,38,2024-08-16 08:27:16,sunny,light traffic,2
YX8176,R9,T,8,37.8,79,2025-03-26 18:50:38,rainy,moderate traffic,5
RI2101,S6,U,9,48.7,76,2025-06-18 07:55:38,cloudy,heavy traffic,2
OM6583,N9,D,4,16.6,38,2025-06-20 02:42:32,windy,moderate traffic,3
OR7888,C8,S,6,59.4,48,2025-03-22 05:04:40,rainy,moderate traffic,2
NC1979,N0,V,3,16.7,105,2025-05-13 23:15:18,foggy,heavy traffic,1
YX7254,J5,Q,3,23.6,50,2025-07-20 15:10:45,windy,heavy traffic,0
IH2983,C9,F,7,99.6,75,2024-06-26 04:05:38,rainy,light traffic,2
OI8719,P4,F,0,18.8,110,2025-03-30 12:04:30,rainy,heavy traffic,2
AZ0526,W8,L,8,60.9,76,2025-01-12 08:28:08,windy,light traffic,1
SW0836,N9,S,9,93.1,49,2025-06-10 08:32:30,windy,heavy traffic,5
HI7163,S7,S,6,76.0,99,2024-12-12 12:54:00,rainy,moderate traffic,2
PU7693,G9,Z,6,70.3,113,2025-04-02 06:46:38,rainy,moderate traffic,2
MX9004,P2,I,9,28.7,102,2024-12-10 17:22:21,cloudy,moderate traffic,1
QY8922,E2,P,5,14.6,24,2024-09-19 20:22:03,cloudy,light traffic,3
AH2606,W3,W,7,45.9,38,2024-09-21 13:45:48,windy,heavy traffic,1
LU0982,F6,J,5,59.3,119,2024-08-22 16:11:06,sunny,moderate traffic,0
JG1751,Y7,R,8,76.2,27,2024-06-10 06:31:19,windy,moderate traffic,5
DG0122,D9,E,4,41.0,107,2024-07-25 07:12:24,cloudy,heavy traffic,4
RH1547,S3,S,5,93.3,70,2024-07-12 02:57:49,windy,light traffic,0
NP5380,C0,S,3,40.4,74,2024-11-23 09:08:20,rainy,heavy traffic,2
VE8919,C0,G,0,1.2,105,2024-06-19 16:23:30,cloudy,heavy traffic,1
AW9116,B0,Y,2,2.3,85,2025-02-07 12:46:44,sunny,light traffic,1
OQ3197,Y7,S,0,98.7,77,2024-06-19 08:30:13,windy,light traffic,1
HS8908,S7,X,5,30.7,57,2025-04-03 05:45:14,cloudy,heavy traffic,2
YO3100,Z0,H,3,12.0,29,2024-07-04 23:48:24,foggy,moderate traffic,3
FH3985,A0,J,6,79.1,105,2025-08-03 18:50:35,rainy,heavy traffic,0
VE1687,G6,R,6,96.1,39,2025-08-28 15:38:30,cloudy,heavy traffic,1
BK3439,K1,R,0,67.1,31,2025-05-19 22:14:18,rainy,light traffic,5
KE0573,W3,Y,7,70.9,71,2025-03-11 12:53:08,sunny,heavy traffic,1
HS5158,P5,L,4,6.2,79,2024-06-25 14:14:45,rainy,moderate traffic,1
JV8208,Z8,V,8,21.7,65,2025-06-19 00:43:18,sunny,light traffic,0
UD4790,R3,L,7,21.6,73,2024-12-18 17:47:25,windy,moderate traffic,4
KH0296,I2,X,9,28.2,57,2025-01-05 23:49:47,sunny,heavy traffic,5
DY2308,P2,N,1,76.3,111,2024-07-25 04:21:26,rainy,light traffic,1
RD9989,S3,G,8,29.4,81,2024-07-17 01:24:07,rainy,heavy traffic,3
BD4876,A4,X,4,60.6,119,2024-09-27 01:20:18,rainy,heavy traffic,0
MH4543,W8,I,8,32.0,61,2024-07-25 23:21:15,cloudy,moderate traffic,2
BT3003,V0,S,0,85.6,44,2024-12-06 04:43:18,foggy,light traffic,5
TY5363,H1,P,2,70.2,101,2024-10-27 22:18:07,sunny,light traffic,5
OC5067,D8,Q,3,78.3,56,2024-10-12 10:47:33,foggy,light traffic,0
BQ7642,Q2,Z,6,16.1,36,2025-05-09 03:44:45,cloudy,heavy traffic,1
DH4030,X4,L,8,62.9,60,2024-07-17 04:44:39,cloudy,light traffic,2
KW0217,Q0,N,9,98.1,87,2024-07-24 15:07:09,windy,heavy traffic,2
IK0910,C6,T,8,92.4,82,2025-06-26 05:14:49,sunny,light traffic,3
FW4814,T9,U,0,39.9,22,2025-04-16 08:37:08,sunny,light traffic,1
OT8256,S8,I,0,46.8,29,2024-09-21 02:28:21,foggy,light traffic,3
TP7060,Q7,N,2,69.1,80,2024-07-26 08:11:38,sunny,moderate traffic,1
CO4872,H1,Q,0,30.9,36,2024-08-30 13:50:12,foggy,moderate traffic,5
PI2544,J7,H,2,51.9,98,2025-03-07 10:11:41,cloudy,heavy traffic,1
XP1225,H1,P,4,57.9,114,2025-05-13 01:46:34,windy,moderate traffic,3
HL5720,E9,J,6,67.3,84,2025-05-26 00:21:42,rainy,moderate traffic,2
DG4912,H8,A,5,30.5,30,2025-02-26 14:07:22,cloudy,moderate traffic,0
RO0002,B0,H,3,2.4,69,2024-08-26 14:58:05,sunny,light traffic,4
QG7669,C8,L,1,87.1,44,2025-08-06 11:35:30,windy,moderate traffic,0
ZB6516,V0,E,6,37.5,109,2025-08-13 03:10:41,windy,heavy traffic,3
HX1409,B1,H,0,35.5,115,2025-05-11 05:15:28,cloudy,heavy traffic,4
OB1176,Y8,W,2,77.9,53,2025-01-24 10:41:56,cloudy,moderate traffic,2
HG0416,F6,B,5,81.1,104,2025-05-26 08:37:31,rainy,light traffic,1
JN7651,K4,K,8,2.9,117,2024-06-27 22:07:00,windy,heavy traffic,0
YM4212,S9,B,8,77.5,50,2024-06-25 12:16:53,windy,heavy traffic,2
KG1587,Z0,J,1,54.4,99,2025-01-12 00:32:06,foggy,heavy traffic,4
PH7471,C8,Q,6,76.0,114,2025-01-27 01:47:54,sunny,moderate traffic,3
UP6963,Q0,J,8,42.5,63,2025-03-17 12:11:45,rainy,heavy traffic,4
HR3369,E7,P,9,51.7,61,2025-01-28 22:27:42,cloudy,moderate traffic,3
NL6765,W8,T,0,19.1,20,2025-05-24 17:10:25,foggy,moderate traffic,5
WV6986,Z8,S,1,9.6,100,2025-01-12 16:26:56,cloudy,heavy traffic,5
