order_id,delivery_id,restaurant_id,customer_id,order_value,items_count
0067687,FF2657,H07,003-uvl,467.22,6
0097794,GN1647,E00,002-jml,211.42,3
0010925,YQ9205,E08,002-juy,451.09,8
0075208,QH6683,G08,007-exx,115.41,1
0085408,OY0571,E08,003-uvg,72.96,5
0047074,PH7471,S03,006-aog,276.95,10
0005273,BI2944,W04,002-rqb,409.08,7
0030173,XI7412,P08,003-ecf,120.09,5
0048666,FW4814,G06,009-yec,170.44,4
0059298,US3877,S03,003-tgx,462.8,1
0054363,YI0961,C06,004-aqo,298.89,5
0058198,WS2301,Q04,009-rjk,436.7,5
0035002,NL6765,U03,001-spc,354.19,10
0072019,LR8976,M00,002-gis,143.37,8
0083762,ON9693,X01,002-qsz,271.81,7
0069562,LL5625,F06,008-xfy,256.0,10
0092204,UG6079,E06,005-szw,83.99,8
0014875,CO4872,M00,008-acy,245.44,3
0055116,ZV0618,F07,009-kgm,400.41,7
0091850,KR3542,C00,000-fhm,158.85,8
0002681,UV1293,Q09,002-huv,119.13,3
0088381,TP7060,X04,001-qdr,432.82,4
0051324,KF0006,S08,008-jma,339.62,7
0093473,KZ7213,G06,008-lpi,419.55,4
0024311,RO9569,S07,006-cpp,145.36,5
0068138,AV2175,Q04,004-usp,193.05,2
0049893,UB2514,B09,004-ymd,143.67,10
0025913,BJ7910,H07,009-ank,155.8,10
0029436,UP6963,E05,009-wei,108.06,9
0014665,LP7021,X01,002-blt,485.86,10
0037253,RI7419,E06,004-zfy,253.9,5
0096142,HG0416,J06,004-pie,74.33,7
0085039,RH1547,Z05,000-dxa,477.29,5
0019533,CL0264,P05,009-koh,404.54,3
0076076,VF2933,P02,002-zfo,438.0,5
0030436,GO6876,D04,003-xuy,239.75,5
0030799,QB7397,P05,001-lxt,438.59,9
0010759,ZY5554,X06,001-nah,433.47,3
0057465,PM7665,H00,007-ugv,69.29,7
0012882,PC6649,E00,001-oky,451.93,6
0056812,FU5882,F07,000-wie,64.03,6
0004135,OH1176,V01,009-plo,498.24,6
0073387,SY4173,C00,005-ccy,467.6,8
0089747,NS1809,L04,005-kal,244.75,4
0051631,TN1554,V08,009-dym,451.26,9
0087165,OR7888,W09,007-nef,230.0,2
0002797,EW8440,G06,004-skc,202.87,9
0093269,XP1225,Z03,006-wye,68.97,2
0022077,AH2606,R07,008-aaf,332.85,1
0041443,WI3382,N00,006-vwm,98.64,6
0096658,CA5902,O08,003-mjz,152.56,9
0032851,CY6183,N01,006-muo,422.25,6
0015916,SW0836,W09,008-hep,160.81,3
0041167,IK0910,X06,009-qyo,113.7,4
0065944,WT2288,N00,005-wkt,455.11,7
0076457,CN1652,E00,002-bqa,112.94,6
0020847,RL8648,N00,004-ybp,110.87,8
0063537,XK5150,G08,001-drd,119.28,7
0058895,AQ9566,Y00,008-vgw,152.0,4
0030001,BV1833,T03,006-tsk,427.47,5
0016555,NP5380,P02,003-qjd,79.6,7
0013144,LI8957,S05,001-cto,93.58,7
0009259,DX8611,M00,005-dfw,280.06,5
0031295,HS5158,X01,005-itv,168.44,1
0073370,QG7303,Q03,007-pyt,257.14,2
0059167,ZB6516,E06,004-slt,133.65,6
0039417,HI7163,E06,005-pqd,100.52,2
0057558,VV8102,Q09,003-tkc,119.44,10
0056756,NA1721,T00,002-lgx,428.97,1
0054106,CC3448,G08,000-ikw,396.2,4
0025252,PJ0119,Y06,006-jne,191.59,5
0075418,AR8892,X01,007-ogy,258.05,6
0012077,BE6456,E00,001-ibx,438.33,10
0047953,TN5503,S05,009-pol,173.85,2
0065674,AG8572,J06,009-ptu,284.45,10
0054616,FG1740,E08,002-uug,140.16,4
0038483,WN0653,Y00,005-xvf,325.16,8
0047883,QU1466,Q09,009-njx,151.03,4
0062621,KS3932,B09,001-evb,171.84,5
0071827,DQ9616,P08,002-esk,393.68,9
0061944,LO6725,O08,008-dox,332.84,8
0061400,RO5187,C05,004-blw,216.55,3
0007727,JG1751,W04,003-ewc,216.54,3
