restaurant_id,area,name,cuisine_type,avg_preparation_time_min
Q04,Z,Langosh-Hane,French,16.0
C09,Z,"Carter, Schimmel and VonRueden",Korean,13.7
E08,B,Larson LLC,Mediterranean,16.6
X01,X,Hills-Mraz,Mediterranean,15.3
M00,M,"Macejkovic, Labadie and Fahey",Italian,18.1
T03,M,Raynor LLC,French,16.5
Y06,D,"Nitzsche, Harber and Crist",French,23.5
O00,Z,Emard-Ortiz,Japanese,27.3
H00,Y,White-Watsica,Thai,20.4
V05,I,"Hartmann, Tremblay and Reichert",Italian,14.6
X06,T,Deckow-McClure,Indian,18.4
D07,B,Hegmann-Gibson,French,20.3
Y00,V,Kshlerin Inc,Korean,15.7
U04,L,"Gorczany, Schuppe and Collier",Italian,18.5
H04,K,Stracke-Spinka,Korean,24.5
S05,I,Cartwright-Fay,Greek,10.8
Q03,B,Sauer Group,Greek,13.8
G08,H,"Runte, Nienow and McGlynn",Korean,13.7
C00,Z,Block-Wilkinson,Vietnamese,11.9
J06,Y,"Hickle, Hansen and Prosacco",Greek,25.1
L04,K,"Padberg, Schaden and Terry",French,29.6
B09,U,"Koss, Moore and Glover",Italian,26.8
Q01,U,Reynolds Inc,Mediterranean,14.5
Y08,V,"Rutherford, Rutherford and Bergnaum",Mediterranean,13.9
P05,X,Herzog-Dach,Vietnamese,29.8
S07,S,Kozey and Sons,Italian,17.9
V08,F,Wintheiser and Sons,Greek,24.9
Y02,U,Luettgen Inc,Mediterranean,25.1
W09,O,Lesch Inc,French,7.8
H02,G,"Krajcik, Heathcote and Murazik",Korean,7.2
S03,T,Grant Inc,Korean,8.1
S08,D,Gerhold-Durgan,Mexican,27.7
E04,D,"Hickle, Kuhlman and Reinger",Italian,6.0
P08,I,"Stokes, Skiles and Cremin",Greek,25.1
J09,F,Weber LLC,French,21.9
L02,Q,Feest-Bruen,Indian,18.0
E05,V,Goodwin Group,Thai,26.0
G09,F,Gislason-Beatty,Indian,19.8
Q02,K,Haag-Abbott,Thai,7.7
E06,A,Bradtke-Stehr,Vietnamese,5.8
G07,G,Larkin Group,Indian,16.2
Q09,Y,Wehner-Jacobi,Japanese,8.1
B08,N,Parker Inc,Italian,23.7
F01,S,"Jones, Bruen and Kuphal",Italian,14.7
G06,V,Kutch Group,Italian,24.8
R07,H,Becker-Goodwin,Mexican,24.6
R04,Q,Paucek-Reichel,Vietnamese,8.4
X04,Z,"Gorczany, Cummerata and Paucek",Indian,13.2
D08,F,Hettinger-Wolf,Mediterranean,27.2
I02,A,Collier-Johnson,Vietnamese,20.5
O05,P,"Roob, Mosciski and Bechtelar",Greek,28.1
H07,G,Hansen-Schultz,Mexican,26.9
E02,X,"Konopelski, Lehner and Reichert",Indian,15.2
C06,O,Block LLC,Italian,15.9
P09,K,Romaguera-Heaney,Italian,25.0
Y01,E,Sanford LLC,Indian,14.1
Z03,S,Dicki-Paucek,Greek,27.2
C05,G,Kilback-Dare,Vietnamese,20.6
E00,U,"Donnelly, Streich and Cummings",Indian,17.1
F07,T,Ondricka-Monahan,Vietnamese,24.2
N01,S,Hirthe-Paucek,Thai,26.6
B05,J,Marquardt-Morar,French,9.4
F06,M,"Turner, Heidenreich and Powlowski",Italian,21.8
W01,G,"Boyle, Rice and Williamson",Mediterranean,5.2
D09,P,VonRueden-Macejkovic,Thai,11.8
U07,D,Mayer and Sons,Indian,26.6
O08,H,Metz and Sons,Mexican,21.6
P02,H,"Kulas, Abbott and Romaguera",Thai,23.8
N00,Q,Hirthe Inc,Japanese,5.8
C07,S,"Considine, Hyatt and Rice",Mexican,25.1
P04,Z,Kirlin-Welch,French,11.8
T00,M,Barrows-Collins,Mediterranean,20.1
Z05,F,Rohan-Mueller,Mediterranean,8.5
I04,X,Hodkiewicz Inc,Vietnamese,7.6
V01,S,Okuneva-Dach,Italian,17.5
W04,F,Terry-Koelpin,Greek,22.9
P06,R,"Fisher, Mann and Kemmer",Greek,7.4
S04,K,Pagac and Sons,Korean,23.5
U03,H,Monahan-Mante,French,13.7
T04,W,Marvin Group,Korean,12.5
D04,B,Crona and Sons,Mexican,9.4
